competition_sk,competition_id,name,type,country_name,confederation,is_major_national_league
0,CIT,italy-cup,domestic_cup,Italy,europa,false
1,NLSC,johan-cruijff-schaal,other,Netherlands,europa,false
2,GRP,kypello-elladas,domestic_cup,Greece,europa,false
3,POSU,supertaca-candido-de-oliveira,other,Portugal,europa,false
4,RUSS,russian-super-cup,other,Russia,europa,false
5,SUC,supercopa,other,Spain,europa,false
6,USC,uefa-super-cup,international_cup,,europa,false
7,DK1,superligaen,domestic_league,Denmark,europa,false
8,EL,europa-league,international_cup,,europa,false
9,ES1,laliga,domestic_league,Spain,europa,true
10,FR1,ligue-1,domestic_league,France,europa,true
11,IT1,serie-a,domestic_league,Italy,europa,true
12,NL1,eredivisie,domestic_league,Netherlands,europa,false
13,RUP,russian-cup,domestic_cup,Russia,europa,false
14,PO1,liga-portugal-bwin,domestic_league,Portugal,europa,false
15,BESC,belgian-supercup,other,Belgium,europa,false
16,GB1,premier-league,domestic_league,England,europa,true
17,UCOL,uefa-conference-league,international_cup,,europa,false
18,ELQ,europa-league-qualifikation,international_cup,,europa,false
19,CGB,efl-cup,other,England,europa,false
20,DKP,sydbank-pokalen,domestic_cup,Denmark,europa,false
21,ECLQ,uefa-europa-conference-league-qualifikation,international_cup,,europa,false
22,FAC,fa-cup,domestic_cup,England,europa,false
23,NLP,toto-knvb-beker,domestic_cup,Netherlands,europa,false
24,UKRS,ukrainian-super-cup,other,Ukraine,europa,false
25,UKR1,premier-liga,domestic_league,Ukraine,europa,false
26,CDR,copa-del-rey,domestic_cup,Spain,europa,false
27,CL,uefa-champions-league,international_cup,,europa,false
28,GR1,super-league-1,domestic_league,Greece,europa,false
29,TR1,super-lig,domestic_league,Turkey,europa,false
30,POCP,allianz-cup,domestic_cup,Portugal,europa,false
31,GBCS,community-shield,other,England,europa,false
32,KLUB,fifa-klub-wm,other,,europa,false
33,L1,bundesliga,domestic_league,Germany,europa,true
34,RU1,premier-liga,domestic_league,Russia,europa,false
35,SC1,scottish-premiership,domestic_league,Scotland,europa,false
36,SCI,supercoppa-italiana,other,Italy,europa,false
37,BE1,jupiler-pro-league,domestic_league,Belgium,europa,false
38,CLQ,uefa-champions-league-qualifikation,international_cup,,europa,false
39,DFL,dfl-supercup,other,Germany,europa,false
40,SFA,sfa-cup,domestic_cup,Scotland,europa,false
41,UKRP,ukrainian-cup,domestic_cup,Ukraine,europa,false
42,DFB,dfb-pokal,domestic_cup,Germany,europa,false
43,FRCH,trophee-des-champions,other,France,europa,false
